defect,column,layer,subsystem,domain_status,domain_mechanism,direction_hypothesis,delta_pure,p_fdr_pure,flag_univariate,flag_nonlinear,flag_rf,flag_machine_controlled,flag_shap,shap_mean_abs,n_methods_agree,temporal_status,reproducibility,delta_original,delta_r1,tier
Micro_Crack,Cooling_Water_Temp,FDC,fdc_thermal,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0125,1.910e-01,False,False,False,False,True,0.15475,1,판단보류,direction_only,-0.10140300643395228,-0.012706351241096758,insufficient_evidence
Micro_Crack,Package_Size_1,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0386,1.211e-05,False,False,False,True,False,,1,판단보류,direction_only,0.09257059164821912,0.1315731688096562,insufficient_evidence
Micro_Crack,Coating_Thickness,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0136,1.694e-01,False,False,True,False,False,,1,판단보류,direction_only,0.025874679744054108,0.011538541694036342,insufficient_evidence
Micro_Crack,Cooling_Thermal_Load,FDC,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0076,4.916e-01,False,False,False,False,True,0.14519,1,판단보류,direction_only,-0.10245954212667596,-0.05113713179019386,insufficient_evidence
Micro_Crack,Package_Size_Asymmetry,Other,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0418,2.488e-06,False,False,False,True,False,,1,판단보류,direction_only,-0.1796210711641958,-0.13744433669671763,insufficient_evidence
Micro_Crack,Maintenance_Count,Other,undocumented_env_or_infra,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0023,9.124e-01,False,False,True,False,False,,1,판단보류,not_reproduced,-0.006802312786347353,0.00487009054102816,insufficient_evidence
Micro_Crack,Coating_Flow,FDC,fdc_cleaning,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0003,9.895e-01,False,False,False,False,False,0.10213,0,미검사,not_reproduced,-0.07766876031968517,0.0014332213944969752,insufficient_evidence
Micro_Crack,Package_Size_2,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.0504,8.456e-09,False,False,False,False,False,,0,미검사,direction_only,0.10260723940257344,0.1321495867695146,insufficient_evidence
Micro_Crack,Package_Size_3,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.038,1.444e-05,False,False,False,False,False,,0,미검사,not_reproduced,0.21523200241023122,-0.12374321381386144,insufficient_evidence
Micro_Crack,Package_Size_4,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0403,4.988e-06,False,False,False,False,False,,0,미검사,not_reproduced,0.05797000391897944,-0.13539175788429414,insufficient_evidence
Micro_Crack,Coating_Uniformity,Response,response,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0001,9.895e-01,False,False,False,False,False,,0,미검사,not_reproduced,-0.010479739582046177,0.0007614842488488094,insufficient_evidence
Micro_Crack,Cleaning_Capacity,FDC,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,-0.0246,7.365e-03,False,False,False,False,False,0.09787,0,미검사,not_reproduced,-0.2867657356442367,0.011738637546334862,insufficient_evidence
Micro_Crack,Cleaning_Load_Ratio,Response,engineered,unclassified,"미분류 — 팀 원안에 없던 컬럼, 이번 통합 스캔에서 새로 확인 필요",unknown,0.052,3.287e-09,False,False,False,False,False,,0,미검사,direction_only,0.2618078381943978,0.07779962658053874,insufficient_evidence
