defect,factor,track,tier,tier_meaning,role,actionable,owner,delta_pure,cross_check,reproducibility,caution
Particle,Cleaning_Capacity,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능),False,daeho,0.0071431386081042,등급차,direction_only,
Remain_Coat,CLN_Flow,후보,P1,한쪽 방법만 통과 — 확정 아님,원인(조치가능·DP04 한정),False,전성재,-0.5556,등급차,direction_only,
Chipping,Cooling_Flow,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,-0.48,등급차,not_reproduced,
Micro_Crack,CLN_Flow,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,-0.1126,등급차,direction_only,
Micro_Crack,Alignment_Time,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,0.0148,등급차,direction_only,
Micro_Crack,Cutting_X_Index,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,0.0071,등급차,not_reproduced,
Micro_Crack,CLN_Pressure,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,0.0039,등급차,not_reproduced,
Micro_Crack,Cutting_Y_Index,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,0.0008,등급차,direction_only,
Micro_Crack,CLN_Time,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,JHdaimma,0.0005,등급차,not_reproduced,
Particle,Laser_Power,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,daeho,0.0770298763466539,등급차,not_reproduced,
Particle,Coating_Flow,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,daeho,0.0093053163946137,등급차,direction_only,
Particle,CLN_Time,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,daeho,0.0047302548243488,등급차,not_reproduced,
Remain_Coat,Surface_Roughness,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",감시지표(결과공변·사후),False,전성재,-0.1139,일치,direction_only,
Remain_Coat,Coating_Uniformity,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",감시지표(관찰만),False,전성재,-0.0238,일치,direction_only,
Remain_Coat,Cutting_X_Index,후보,P2,"통계는 통과, 도메인 근거 미확인 — 멘토 확인 대기",원인(조치가능),False,전성재,0.0122,일치,direction_only,
