defect,factor,layer,role,role_note,subsystem,owner,final_status,actionable,confidence,cross_check,owner_verdict,owner_verdict_raw,jun_verdict,jun_verdict_raw,delta_pure,delta_broad,p_fdr_pure,n_methods,delta_original,delta_r1,reproducibility,temporal_status,domain_status,domain_mechanism,owner_note,caution,source_file
Chipping,Package_Size_Asymmetry,Response,감시지표(관찰만),,engineered,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,needs_domain_review,candidate_needs_domain_review,0.6005,0.6493,0.0,2.0,,0.639,reproduced,선행신호 유지,defect_related,센터링 이상 시 4방향 다이 크기 비대칭 발생,,,JHdaimma db_01_factors.csv
Chipping,Surface_Roughness,Response,감시지표(결과공변·사후),"daeho 검증1: 선행신호 잔존율 7.5% — 불량 발생 후 거칠기가 올라가는 결과 공변. 원인 아님, 탐지지표로만 사용.",response,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,needs_domain_review,candidate_needs_domain_review,0.3982,0.5034,0.0,2.0,,0.4848,direction_only,선행신호 유지,defect_related,결과 공변 — 파손부가 거칠기를 높일 가능성 (⚠멘토 drop 미확정),멘토 재확인 대기 / 공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Chipping,Kerf_Angle,Response,감시지표(관찰만),,response,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,insufficient,insufficient_evidence,0.7811,0.8246,0.0,1.0,,0.7653,reproduced,선행신호 유지,defect_related,홈 단면 형상 이상 -> 응력 집중,,,JHdaimma db_01_factors.csv
Chipping,Package_Size_1,Response,감시지표(관찰만),,response,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,insufficient,insufficient_evidence,-0.5988,-0.6479,0.0,1.0,,-0.6388,direction_only,선행신호 유지,defect_related,정렬 불량 동반지표,,,JHdaimma db_01_factors.csv
Chipping,Package_Size_4,Response,감시지표(관찰만),,response,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,insufficient,insufficient_evidence,0.5959,0.6466,0.0,1.0,,0.6368,reproduced,선행신호 유지,defect_related,정렬 불량 동반지표,,,JHdaimma db_01_factors.csv
Chipping,Package_Size_2,Response,감시지표(관찰만),,response,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,insufficient,insufficient_evidence,-0.5287,-0.5788,0.0,1.0,,-0.57,not_reproduced,선행신호 유지,defect_related,정렬 불량 동반지표,,,JHdaimma db_01_factors.csv
Chipping,Package_Size_3,Response,감시지표(관찰만),,response,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,insufficient,insufficient_evidence,0.5253,0.5739,0.0,1.0,,0.5641,not_reproduced,선행신호 유지,defect_related,정렬 불량 동반지표,,,JHdaimma db_01_factors.csv
Chipping,Cooling_Flow,FDC,원인(조치가능),,fdc_thermal,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,-0.48,-0.4992,0.0,1.0,,-0.4623,not_reproduced,선행신호 유지,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",멘토 재확인 대기 / 공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Chipping,Cleaning_Load_Ratio,Response,감시지표(관찰만),,engineered,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.4789,-0.5112,0.0,1.0,,-0.5318,reproduced,선행신호 유지,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Cooling_Thermal_Load,FDC,원인(조치가능),,engineered,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.3151,0.3257,0.0,1.0,,0.3002,reproduced,선행신호 유지,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Chipping,CLN_Flow,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.1293,0.1327,7.825e-156,0.0,,0.1559,not_reproduced,판단보류,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Cleaning_Capacity,FDC,원인(조치가능),,engineered,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0762,0.0773,3.513e-55,0.0,,0.1325,direction_only,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Frequency,FDC,원인(조치가능),,fdc_laser,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0162,-0.0041,0.001466,0.0,,-0.0031,direction_only,판단보류,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Laser_Current,FDC,원인(조치가능),,fdc_laser,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0083,0.009,0.1416,0.0,,0.0111,not_reproduced,미검사,team_undetermined,설계서F유형 불확실,,,JHdaimma db_01_factors.csv
Chipping,Cutting_Y_Index,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.007,0.0003,0.2367,0.0,,-0.0025,not_reproduced,미검사,defect_related,절단선 이탈 -> 모서리 파손,,,JHdaimma db_01_factors.csv
Chipping,CLN_Pressure,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0054,0.0,0.4049,0.0,,-0.0002,direction_only,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Process_Time,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0034,-0.0007,0.7057,0.0,,0.0002,not_reproduced,판단보류,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Cutting_X_Index,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.003,-0.0023,0.7499,0.0,,-0.0043,direction_only,미검사,defect_related,절단선 이탈 -> 모서리 파손,,,JHdaimma db_01_factors.csv
Chipping,Feed_Speed,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0028,0.0025,0.7499,0.0,,0.0018,not_reproduced,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Maintenance_Count,Other,미분류,,undocumented_env_or_infra,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0026,-0.0016,0.7764,0.0,,0.0016,direction_only,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,CLN_Time,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0022,-0.0009,0.786,0.0,,0.0003,direction_only,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Alignment_Time,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0021,-0.0035,0.786,0.0,,-0.0056,direction_only,판단보류,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Beam_Diameter,FDC,원인(조치가능),,fdc_laser,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0021,0.0006,0.786,0.0,,0.0014,not_reproduced,미검사,defect_related,빔 협소 시 홈 폭 감소 -> Chipping / 과다 시 Die 영역 침범,,,JHdaimma db_01_factors.csv
Chipping,Coating_Uniformity,Response,감시지표(관찰만),,response,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0007,-0.0001,0.9603,0.0,,0.0005,direction_only,미검사,team_undetermined,설계서G유형 측정시점 불확실,,,JHdaimma db_01_factors.csv
Chipping,Coating_Thickness,Response,감시지표(관찰만),,response,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0005,0.0002,0.9603,0.0,,-0.0026,not_reproduced,미검사,team_undetermined,설계서G유형 측정시점 불확실,,,JHdaimma db_01_factors.csv
Chipping,Cooling_Water_Temp,FDC,원인(조치가능),,fdc_thermal,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0005,-0.0036,0.9603,0.0,,-0.0055,not_reproduced,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",멘토 재확인 대기 / 공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Chipping,Laser_Head_Remain_Time,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0005,-0.0034,0.9603,0.0,,-0.0032,direction_only,미검사,defect_related,헤드 수명 소진 -> 빔 품질 저하 (⚠멘토: 임계값성),멘토: 임계값성 — db_05_binning 참조,,JHdaimma db_01_factors.csv
Chipping,Coating_Flow,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0004,-0.0021,0.9603,0.0,,-0.0016,direction_only,미검사,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",,,JHdaimma db_01_factors.csv
Chipping,Laser_Voltage,FDC,원인(조치가능),,fdc_laser,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0002,0.0007,0.9603,0.0,,0.0039,not_reproduced,미검사,team_undetermined,설계서F유형 불확실,,,JHdaimma db_01_factors.csv
Micro_Crack,Surface_Roughness,Response,감시지표(결과공변·사후),"daeho 검증1: 선행신호 잔존율 7.5% — 불량 발생 후 거칠기가 올라가는 결과 공변. 원인 아님, 탐지지표로만 사용.",response,JHdaimma,confirmed_monitor,False,중간(Jun 대조본과 불일치 — rel_03 참조),등급차,confirmed,confirmed,monitor_confirmed,monitor_only,0.4919,0.5751,0.0,2.0,0.4443,0.5396,reproduced,판단보류,defect_related,"절단면 거칠기. Vibration이 압도적 1위 드라이버(perm.imp 0.424)라 균열과 공통 원인을 공유하는 동반지표로 보임. Jun도 '결과 공변, 원인 아닐 수 있음'으로 표기. ⚠멘토 drop 여부 미확정",멘토 재확인 대기 / 공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Micro_Crack,Process_Time,FDC,원인(조치가능),,fdc_motion,JHdaimma,candidate,False,-,등급차,candidate,candidate_weak_signal,needs_domain_review,candidate_needs_domain_review,-0.0094,-0.0085,0.3124,1.0,-0.1125,-0.0081,direction_only,판단보류,defect_related,[추론] 누적 응력 노출 — 김시우 subsystem=fdc_motion,,,JHdaimma db_01_factors.csv
Micro_Crack,CLN_Flow,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,-0.1126,0.02,2.066e-53,1.0,-0.0279,0.0287,direction_only,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Alignment_Time,FDC,원인(조치가능),,fdc_motion,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,0.0148,0.0034,0.08218,0.0,0.1389,0.0019,direction_only,판단보류,defect_related,[추론] 누적 응력 노출 — 김시우 subsystem=fdc_motion,,,JHdaimma db_01_factors.csv
Micro_Crack,Cutting_X_Index,FDC,원인(조치가능),,fdc_motion,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,0.0071,0.0027,0.4957,0.0,-0.0115,0.0015,not_reproduced,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,CLN_Pressure,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,0.0039,0.0071,0.7153,1.0,-0.0665,0.0078,not_reproduced,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Cutting_Y_Index,FDC,원인(조치가능),,fdc_motion,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,0.0008,0.0078,0.9467,0.0,-0.0705,0.0062,direction_only,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,CLN_Time,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,needs_domain_review,False,-,등급차,insufficient,insufficient_evidence,needs_domain_review,candidate_needs_domain_review,0.0005,-0.0033,0.9467,0.0,-0.2146,-0.0017,not_reproduced,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Cleaning_Load_Ratio,Response,감시지표(관찰만),,engineered,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,0.1377,-0.2274,6.259e-79,2.0,0.1752,-0.2084,direction_only,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Package_Size_2,Response,감시지표(관찰만),,response,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,0.0586,-0.3141,2.992e-15,2.0,0.0751,-0.2537,direction_only,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Package_Size_1,Response,감시지표(관찰만),,response,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,0.0475,-0.3527,2.147e-10,2.0,0.077,-0.2851,direction_only,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Package_Size_3,Response,감시지표(관찰만),,response,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,-0.0468,0.3154,3.587e-10,2.0,0.2386,0.253,not_reproduced,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Package_Size_Asymmetry,Response,감시지표(관찰만),,engineered,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,-0.0467,0.3535,3.612e-10,2.0,-0.1982,0.2843,direction_only,판단보류,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Package_Size_4,Response,감시지표(관찰만),,response,JHdaimma,rejected,False,-,등급차,rejected_contaminated,contaminated_by_Chipping,insufficient,insufficient_evidence,-0.0463,0.3541,4.386e-10,2.0,0.1114,0.2852,not_reproduced,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Vibration,FDC,원인(조치가능),,fdc_mechanical,JHdaimma,insufficient,False,-,등급차,insufficient,shared_cause_with_Chipping,candidate,Tier2d_데이터셋특정적_재현안됨,0.1242,0.5652,1.433e-64,2.0,0.1515,0.4533,not_reproduced,판단보류,defect_related,"장비/스테이지 진동(김시우 subsystem=fdc_mechanical). 멘토가 설비 열화 대표신호로 지목, 노후 장비 Y축 이동 시 진동으로 빔 라인 어긋나 대량 스크랩 발생 사례 있음. [추론] 반복 응력에 의한 피로 균열 경로는 미검증",도메인 지지 철회 — 멘토 '진동은 설비 열화의 대표 신호'를 작성자가 '진동 -> 미세균열' 근거로 확대 해석한 것. 단변량 통과도 broad 라벨에만 의존(broad +0.565 -> pure +0.124). Jun 통합본도 not_reproduced.,,JHdaimma db_01_factors.csv
Micro_Crack,Cleaning_Capacity,FDC,원인(조치가능),,engineered,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.1138,-0.0106,1.894e-54,0.0,-0.2174,0.0284,not_reproduced,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Cooling_Flow,FDC,원인(조치가능),,fdc_thermal,JHdaimma,insufficient,False,-,일치,insufficient,shared_cause_with_Chipping,insufficient,insufficient_evidence,-0.018,-0.2775,0.02879,2.0,0.0494,-0.2002,direction_only,판단보류,defect_related,[추론] 냉각 부족 -> 열충격. ⚠멘토가 설비-컬럼 매핑 재확인 예정이라 어느 계통 냉각인지 미확정,pure 라벨에서 |delta| 0.018로 붕괴. 멘토 미확정 컬럼이며 도메인 근거 없음.,,JHdaimma db_01_factors.csv
Micro_Crack,Feed_Speed,FDC,원인(조치가능),,fdc_motion,JHdaimma,insufficient,False,-,담당자_단독,insufficient,insufficient_evidence,(대조본 없음),,0.0109,0.0058,0.2368,0.0,0.0672,0.005,,,defect_related,"[추론] 이송속도가 응력에 영향 — 김시우 subsystem=fdc_motion, 레이저/다이싱 어느 쪽 이송인지 미확인",,,JHdaimma db_01_factors.csv
Micro_Crack,Cooling_Thermal_Load,FDC,원인(조치가능),,engineered,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0108,0.1787,0.2368,0.0,-0.0947,0.1267,direction_only,판단보류,defect_related,냉각 부담 종합 지표,공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Micro_Crack,Coating_Flow,FDC,원인(조치가능),,fdc_cleaning,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0057,-0.0002,0.6067,0.0,-0.0887,0.0007,not_reproduced,미검사,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,,,JHdaimma db_01_factors.csv
Micro_Crack,Coating_Thickness,Response,감시지표(관찰만),,response,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,0.0053,0.0031,0.6195,0.0,0.0118,0.0008,direction_only,판단보류,team_undetermined,설계서G유형 측정시점 불확실,,,JHdaimma db_01_factors.csv
Micro_Crack,Maintenance_Count,Other,미분류,,undocumented_env_or_infra,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0045,-0.0019,0.6775,0.0,-0.0463,0.0012,not_reproduced,판단보류,defect_related,정비 이력 프록시 — 블레이드 교체/드레싱 주기 간접 반영 가능,,,JHdaimma db_01_factors.csv
Micro_Crack,Coating_Uniformity,Response,감시지표(관찰만),,response,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0033,-0.0009,0.7415,0.0,0.0151,-0.0005,not_reproduced,미검사,team_undetermined,설계서G유형 측정시점 불확실,,,JHdaimma db_01_factors.csv
Micro_Crack,Cooling_Water_Temp,FDC,원인(조치가능),,fdc_thermal,JHdaimma,insufficient,False,-,일치,insufficient,insufficient_evidence,insufficient,insufficient_evidence,-0.0025,-0.0059,0.7976,0.0,-0.0961,-0.0073,direction_only,판단보류,defect_related,[추론] 냉각수 온도 상승 -> 열충격. ⚠멘토 매핑 재확인 예정,멘토 재확인 대기 / 공정단계 매핑 멘토_미확정,,JHdaimma db_01_factors.csv
Particle,Vibration,FDC,원인(조치가능),,fdc_mechanical,daeho,confirmed_cause,True,중간(Jun 대조본과 불일치 — rel_03 참조),불일치,confirmed,confirmed,candidate,Tier2d_데이터셋특정적_재현안됨,0.0865116090164863,0.3170758241483331,1.1175129214460685e-52,2.0,0.1936,0.3307,not_reproduced,판단보류,defect_related,기계적 진동 — 진동 → 디브리 비산/재부착,"검증1·5: 유일한 원인 후보. 선행신호 잔존율 33.5%, 층 무관 강건(축소 2.3%)",확정이지만 엄격(pure/primary) 라벨 효과크기 |delta|<0.2 — 다른 defect가 섞인 넓은 라벨에 의존한 결론일 수 있음. 재확인 필요,daeho 26.08.05_Goal2_PARTICLE_유효인자_분석_JHdaimma방법론_daeho/out/04_particle_influence_factors_final.csv
