target,factor,layer,subsystem,process_stage,stage_confidence,is_laser_grooving,role,verdict,domain_status,domain_mechanism,direction_hypothesis,domain_source,delta_primary,delta_broad,delta_pure,p_fdr_broad,p_fdr_pure,delta_nonlinear_abs_pure,tree_imp_broad,tree_rank_broad,tree_imp_pure,tree_rank_pure,flag_univariate,flag_nonlinear,flag_tree,n_methods_agree,delta_original_dataset,delta_r1_dataset,n_machines_effect_ge_02,n_machines_tested,caution
Chipping,Cutting_Y_Index,FDC,fdc_motion,4_blade_dicing,확실,False,-,insufficient_evidence,defect_related,절단선 이탈 -> 모서리 파손,either,팀설계서E유형,0.0003,0.0003,-0.007,9.967e-01,2.367e-01,0.0057,-0.000139,33,-2.9e-05,26,False,False,False,0,,-0.0025,0,4,
Chipping,Laser_Head_Remain_Time,FDC,fdc_cleaning,2_laser_grooving,확실(멘토: 11스팟x2000h),True,-,insufficient_evidence,defect_related,헤드 수명 소진 -> 빔 품질 저하 (⚠멘토: 임계값성),down,멘토,-0.0034,-0.0034,0.0005,5.702e-01,9.603e-01,0.0011,-0.000207,35,-6.7e-05,27,False,False,False,0,,-0.0032,0,4,멘토: 임계값성 — db_05_binning 참조
Chipping,Maintenance_Count,Engineered,undocumented_env_or_infra,0_equipment,프록시,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0016,-0.0016,-0.0026,8.553e-01,7.764e-01,0.0029,-4.2e-05,30,-9.7e-05,28,False,False,False,0,,0.0016,0,4,
Chipping,Cooling_Thermal_Load,Engineered,engineered,4_blade_dicing,파생,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,0.3257,0.3257,0.3151,0.000e+00,0.000e+00,0.1383,-0.000535,37,-0.00011,29,True,False,False,1,,0.3002,2,4,
Chipping,Feed_Speed,FDC,fdc_motion,4_blade_dicing,추정(레이저 이송일 가능성),False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,0.0025,0.0025,0.0028,7.257e-01,7.499e-01,0.0096,0.000306,23,-0.000122,30,False,False,False,0,,0.0018,0,4,공정단계 매핑 추정(레이저 이송일 가능성)
Chipping,Coating_Uniformity,Response,response,1_coating,확실,False,-,insufficient_evidence,team_undetermined,설계서G유형 측정시점 불확실,unknown,팀미확정,-0.0001,-0.0001,-0.0007,9.967e-01,9.603e-01,0.0028,-0.000983,39,-0.000153,31,False,False,False,0,,0.0005,0,4,
Chipping,Coating_Flow,FDC,fdc_cleaning,1_coating,확실,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0021,-0.0021,-0.0004,7.736e-01,9.603e-01,0.0025,0.000479,19,-0.000338,32,False,False,False,0,,-0.0016,0,4,
Chipping,Cutting_X_Index,FDC,fdc_motion,4_blade_dicing,확실,False,-,insufficient_evidence,defect_related,절단선 이탈 -> 모서리 파손,either,팀설계서E유형,-0.0023,-0.0023,-0.003,7.578e-01,7.499e-01,0.0017,-0.000212,36,-0.000402,33,False,False,False,0,,-0.0043,0,4,
Chipping,Coating_Thickness,Response,response,1_coating,확실,False,-,insufficient_evidence,team_undetermined,설계서G유형 측정시점 불확실,unknown,팀미확정,0.0002,0.0002,-0.0005,9.967e-01,9.603e-01,0.002,0.000133,24,-0.000452,34,False,False,False,0,,-0.0026,0,4,
Chipping,Cooling_Water_Temp,FDC,fdc_thermal,4_blade_dicing,미확정(멘토 재확인 예정),False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0036,-0.0036,-0.0005,5.597e-01,9.603e-01,-0.0,-3e-06,27,-0.000789,36,False,False,False,0,,-0.0055,0,4,멘토 재확인 대기 / 공정단계 매핑 미확정(멘토 재확인 예정)
Chipping,Laser_Voltage,FDC,fdc_laser,2_laser_grooving,확실,True,-,insufficient_evidence,team_undetermined,설계서F유형 불확실,unknown,팀미확정,0.0007,0.0007,-0.0002,9.800e-01,9.603e-01,0.0023,0.000308,22,-0.001685,37,False,False,False,0,,0.0039,0,4,
Chipping,Beam_Diameter,FDC,fdc_laser,2_laser_grooving,확실,True,-,insufficient_evidence,defect_related,빔 협소 시 홈 폭 감소 -> Chipping / 과다 시 Die 영역 침범,either,팀설계서B유형,0.0006,0.0006,0.0021,9.800e-01,7.860e-01,-0.0025,-0.000164,34,-0.001827,38,False,False,False,0,,0.0014,0,4,
Chipping,CLN_Time,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, Chipping과 무관 (Jun 판단 유지)",not_applicable,도메인판단,-0.0009,-0.0009,0.0022,9.800e-01,7.860e-01,0.0048,-2.5e-05,28,-0.00184,39,False,False,False,0,,0.0003,0,4,
Micro_Crack,Surface_Roughness,Response,response,4R_dicing_result,추정(멘토 drop여부 미확정),False,감시지표,confirmed,defect_related,"블레이드 절삭 품질 지표 — 균열과 '형제 관계'(공통원인=진동), 원인 아닐 수 있음",up,공정지식+Jun주의,0.44,0.5751,0.4919,0.000e+00,0.000e+00,0.2056,0.098934,2,0.077777,1,True,True,True,2,0.4443,0.5396,4,4,멘토 재확인 대기 / 공정단계 매핑 추정(멘토 drop여부 미확정)
Micro_Crack,Vibration,FDC,fdc_mechanical,4_blade_dicing,확실(멘토: 열화 대표신호),False,원인후보,shared_cause_with_Chipping,defect_related,블레이드 채터/스핀들 런아웃 -> 반복 응력 -> 피로 균열 (멘토 실제 스크랩 사고사례),up,현업+멘토사고사례,0.0633,0.5652,0.1242,0.000e+00,1.433e-64,0.0318,0.099875,1,0.006959,3,True,False,True,2,0.1515,0.4533,3,4,
Micro_Crack,Cooling_Flow,FDC,fdc_thermal,4_blade_dicing,미확정(멘토 재확인 예정),False,원인후보,shared_cause_with_Chipping,defect_related,절삭열 제거 부족 -> 열충격 (⚠멘토 매핑 재확인),down,공정지식+주의,-0.0232,-0.2775,-0.018,0.000e+00,2.879e-02,0.0123,0.010123,9,0.001795,5,True,False,True,2,0.0494,-0.2002,2,4,멘토 재확인 대기 / 공정단계 매핑 미확정(멘토 재확인 예정)
Micro_Crack,Process_Time,FDC,fdc_motion,4_blade_dicing,추정,False,원인후보,candidate_weak_signal,defect_related,누적 절삭 응력 노출,up,추론,-0.0128,-0.0085,-0.0094,1.444e-01,3.124e-01,-0.0023,0.000493,21,0.000558,7,False,False,True,1,-0.1125,-0.0081,0,4,공정단계 매핑 추정
Micro_Crack,Package_Size_1,Response,response,4R_dicing_result,확실,False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.0386,-0.3527,0.0475,0.000e+00,2.147e-10,-0.0483,0.052111,4,0.002902,4,True,False,True,2,0.077,-0.2851,1,4,
Micro_Crack,Package_Size_Asymmetry,Response,engineered,4R_dicing_result,파생(김시우 신규),False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0418,0.3535,-0.0467,0.000e+00,3.612e-10,-0.0424,0.059377,3,0.001309,6,True,False,True,2,-0.1982,0.2843,1,4,
Micro_Crack,Package_Size_2,Response,response,4R_dicing_result,확실,False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.0504,-0.3141,0.0586,0.000e+00,2.992e-15,-0.0447,0.015898,7,0.000518,8,True,False,True,2,0.0751,-0.2537,1,4,
Micro_Crack,Package_Size_4,Response,response,4R_dicing_result,확실,False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0403,0.3541,-0.0463,0.000e+00,4.386e-10,-0.0519,0.037608,5,-1.7e-05,10,True,False,True,2,0.1114,0.2852,1,4,
Micro_Crack,Package_Size_3,Response,response,4R_dicing_result,확실,False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.038,0.3154,-0.0468,0.000e+00,3.587e-10,-0.0484,0.019514,6,-0.000814,17,True,False,True,2,0.2386,0.253,1,4,
Micro_Crack,Cleaning_Load_Ratio,Engineered,engineered,3_cleaning,파생,False,-,contaminated_by_Chipping,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.052,-0.2274,0.1377,0.000e+00,6.259e-79,0.0976,0.009302,10,-0.004636,23,True,False,True,2,0.1752,-0.2084,2,4,
Micro_Crack,CLN_Flow,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0147,0.02,-0.1126,8.189e-05,2.066e-53,0.0951,0.010582,8,0.044682,2,False,False,True,1,-0.0279,0.0287,1,4,
Micro_Crack,CLN_Pressure,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.0172,0.0071,0.0039,2.321e-01,7.153e-01,-0.0079,-0.000726,23,0.0003,9,False,False,True,1,-0.0665,0.0078,0,4,
Micro_Crack,Feed_Speed,FDC,fdc_motion,4_blade_dicing,추정(레이저 이송일 가능성),False,-,insufficient_evidence,defect_related,이송속도 과다 -> 절삭 응력 증가 -> 표면하 손상층 확대,either,공정지식,0.0131,0.0058,0.0109,3.241e-01,2.368e-01,0.0058,0.000626,20,-5.2e-05,11,False,False,False,0,0.0672,0.005,0,4,공정단계 매핑 추정(레이저 이송일 가능성)
Micro_Crack,Alignment_Time,FDC,fdc_motion,4_blade_dicing,추정,False,-,insufficient_evidence,defect_related,누적 응력 노출,up,추론,0.0249,0.0034,0.0148,6.229e-01,8.218e-02,0.0123,0.000718,18,-0.000209,12,False,False,False,0,0.1389,0.0019,0,4,공정단계 매핑 추정
Micro_Crack,Coating_Uniformity,Response,response,1_coating,확실,False,-,insufficient_evidence,team_undetermined,설계서G유형 측정시점 불확실,unknown,팀미확정,-0.0001,-0.0009,-0.0033,8.816e-01,7.415e-01,0.018,0.000946,16,-0.000328,13,False,False,False,0,0.0151,-0.0005,0,4,
Micro_Crack,Maintenance_Count,Engineered,undocumented_env_or_infra,0_equipment,프록시,False,-,insufficient_evidence,defect_related,정비 이력 프록시 — 블레이드 교체/드레싱 주기 간접 반영 가능,either,김시우decision_note,0.0023,-0.0019,-0.0045,7.601e-01,6.775e-01,-0.0038,3.3e-05,22,-0.000368,14,False,False,False,0,-0.0463,0.0012,0,4,
Micro_Crack,Coating_Flow,FDC,fdc_cleaning,1_coating,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.0003,-0.0002,0.0057,9.610e-01,6.067e-01,0.0041,-0.001207,24,-0.000467,15,False,False,False,0,-0.0887,0.0007,0,4,
Micro_Crack,Cutting_Y_Index,FDC,fdc_motion,4_blade_dicing,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0004,0.0078,0.0008,1.843e-01,9.467e-01,-0.0115,0.000669,19,-0.000501,16,False,False,False,0,-0.0705,0.0062,0,4,
Micro_Crack,Cooling_Thermal_Load,Engineered,engineered,4_blade_dicing,파생,False,-,insufficient_evidence,defect_related,냉각 부담 종합 지표,up,팀공용피처,0.0076,0.1787,0.0108,6.939e-298,2.368e-01,0.0099,0.002362,12,-0.000898,18,False,False,False,0,-0.0947,0.1267,1,4,
Micro_Crack,Coating_Thickness,Response,response,1_coating,확실,False,-,insufficient_evidence,team_undetermined,설계서G유형 측정시점 불확실,unknown,팀미확정,0.0136,0.0031,0.0053,6.229e-01,6.195e-01,-0.0101,0.000773,17,-0.000937,19,False,False,False,0,0.0118,0.0008,0,4,
Micro_Crack,CLN_Time,FDC,fdc_cleaning,3_cleaning,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0022,-0.0033,0.0005,6.229e-01,9.467e-01,-0.0075,0.001709,13,-0.001311,20,False,False,False,0,-0.2146,-0.0017,0,4,
Micro_Crack,Cooling_Water_Temp,FDC,fdc_thermal,4_blade_dicing,미확정(멘토 재확인 예정),False,-,insufficient_evidence,defect_related,냉각수 온도 상승 -> 열충격 (⚠멘토 매핑 재확인),up,공정지식+주의,-0.0125,-0.0059,-0.0025,3.241e-01,7.976e-01,0.0062,0.001188,15,-0.002067,21,False,False,False,0,-0.0961,-0.0073,0,4,멘토 재확인 대기 / 공정단계 매핑 미확정(멘토 재확인 예정)
Micro_Crack,Cutting_X_Index,FDC,fdc_motion,4_blade_dicing,확실,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,0.0057,0.0027,0.0071,6.617e-01,4.957e-01,0.0002,0.00128,14,-0.002574,22,False,False,False,0,-0.0115,0.0015,0,4,
Micro_Crack,Cleaning_Capacity,Engineered,engineered,3_cleaning,파생,False,-,insufficient_evidence,not_related_to_defect,[현업] Micro_Crack은 레이저 그루빙 공정 문제가 아님 — 그루빙 계열 제외 / 세정계열은 파단과 무관,not_applicable,도메인판단,-0.0246,-0.0106,-0.1138,5.618e-02,1.894e-54,0.1108,0.002572,11,-0.005578,24,False,False,False,0,-0.2174,0.0284,1,4,
