kind,item,process_stage,description,note,source
column_stage_mapping,Laser_Current,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Laser_Voltage,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Beam_Diameter,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Laser_Centering_Position,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Frequency,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실(멘토확인),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Head_Temp,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Laser_Head_Remain_Time,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 확실(멘토: 11스팟x2000h),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Groove_Depth,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Kerf_Width_Profile,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Top_Kerf,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Bottom_Kerf,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Kerf_Angle,2R_grooving_result,레이저 그루빙 결과 측정값 (홈 깊이/폭/각도),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,CLN_Flow,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,CLN_Pressure,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,CLN_Time,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Vibration,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 확실(멘토: 열화 대표신호),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Feed_Speed,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 추정(레이저 이송일 가능성),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cutting_X_Index,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cutting_Y_Index,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Alignment_Time,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 추정,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Process_Time,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 추정,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cooling_Flow,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 미확정(멘토 재확인 예정),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cooling_Water_Temp,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 미확정(멘토 재확인 예정),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Surface_Roughness,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 추정(멘토 drop여부 미확정),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Package_Size_1,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Package_Size_2,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Package_Size_3,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Package_Size_4,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 확실,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cooling_Thermal_Load,4_blade_dicing,블레이드 다이싱 — 벌크 실리콘 절단 (low-k는 이미 제거된 상태),매핑 확신도: 파생,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Laser_Cleaning_Demand,2_laser_grooving,레이저 그루빙 — scribe lane의 low-k+금속층을 승화(ablation)로 제거,매핑 확신도: 파생,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cleaning_Capacity,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,매핑 확신도: 파생,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Cleaning_Load_Ratio,3_cleaning,세정 — 레이저 debris 및 보호 코팅 제거,매핑 확신도: 파생,김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Package_Size_Asymmetry,4R_dicing_result,다이싱 결과 측정값 (절단면 품질/다이 치수),매핑 확신도: 파생(김시우 신규),김시우 subsystem 분류 + 공정 흐름 대조
column_stage_mapping,Maintenance_Count,0_equipment,설비 상태/정비 이력,매핑 확신도: 프록시,김시우 subsystem 분류 + 공정 흐름 대조
mentor_feedback,Focus,-,멘토: 분석에 활용하지 않아도 됨 -> 제외 (26.07.31),확정,멘토 피드백 26.07.31
mentor_feedback,Cutting_Offset,-,멘토: 분석에 활용하지 않아도 됨 -> 제외 (26.07.31),확정,멘토 피드백 26.07.31
mentor_feedback,Frequency,2_laser_grooving,멘토: 레이저 변수로 확인 -> fdc_laser 재분류. Micro_Crack 그루빙 제외 대상,확정,멘토 피드백 26.07.31
mentor_feedback,Power_Efficiency,2_laser_grooving,멘토: U자형 비선형 — 단조 상관만으로 판단 금지,확정,멘토 피드백 26.07.31
mentor_feedback,Vibration,4_blade_dicing,멘토: 설비 열화 대표신호. 실제 사고사례(노후장비 Y축 진동->빔라인 어긋남->대량 스크랩),확정,멘토 피드백 26.07.31
mentor_feedback,Laser_Head_Remain_Time,2_laser_grooving,"멘토: 헤드 내 11스팟, 스팟당 기준수명 약 2000h. 임계값성 패턴 가능",확정,멘토 피드백 26.07.31
mentor_feedback,Head_Temp,2_laser_grooving,멘토 인과사슬: Head_Temp->크리스탈 스팟온도->굴절률->Laser_Centering_Position->Chipping/Kerf,확정,멘토 피드백 26.07.31
mentor_feedback,Kerf_Width_Profile,2R_grooving_result,"멘토: 7um 기준점이 합성데이터에서 물리상수 아닐 수 있음 — 하드코딩 금지, baseline 역산",확정,멘토 피드백 26.07.31
mentor_feedback,Top_Kerf,2R_grooving_result,멘토: 7um 기준점 주의사항 동일,확정,멘토 피드백 26.07.31
mentor_feedback,Groove_Depth,2R_grooving_result,멘토: 7um 기준 편차값이나 물리상수 아닐 수 있음 — baseline 역산,확정,멘토 피드백 26.07.31
mentor_feedback,Edge_Burn,-,[재확인대기] 멘토가 무시해도 된다 시사했으나 미확정. Jun BURN 분석 전체 영향,재확인 대기,멘토 피드백 26.07.31
mentor_feedback,Bottom_Kerf,2R_grooving_result,[재확인대기] 다른 kerf 컬럼과 값 중복 여부,재확인 대기,멘토 피드백 26.07.31
mentor_feedback,Surface_Roughness,4R_dicing_result,[재확인대기] drop 여부 미확정 (필요상 넣어놓은 컬럼이라고만 언급),재확인 대기,멘토 피드백 26.07.31
mentor_feedback,Cooling_Flow,4_blade_dicing,[재확인대기] 설비-컬럼 매핑 재확인 예정,재확인 대기,멘토 피드백 26.07.31
mentor_feedback,Cooling_Water_Temp,4_blade_dicing,[재확인대기] 설비-컬럼 매핑 재확인 예정,재확인 대기,멘토 피드백 26.07.31
mentor_feedback,Package_Size_Asymmetry,4R_dicing_result,멘토 힌트(센터링 이상->4방향 비대칭)를 김시우가 신규 피처로 수식화,확정,멘토 피드백 26.07.31
