column,subsystem,data_type,analysis_role,variability_class,variability_ratio,dispersion_method,degradation_trend_class,missing_rate,zero_fault_rate,flatline_fault_rate,is_operation_condition_key,is_excluded_identifier,is_mentor_excluded,is_mentor_excluded_defect,mentor_pending_review,include_in_downstream_default,decision_note
Frequency,fdc_laser,continuous,predictor,stable,0.00488064462922266,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,멘토 피드백: 레이저 변수로 확인됨 (fdc_laser로 재분류).
Feed_Speed,fdc_motion,continuous,predictor,stable,0.0031959291484267775,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Focus,fdc_thermal,continuous,mentor_excluded,variable,0.15544638613773193,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,True,False,False,False,멘토가 데이터 제공 시 분석에 활용하지 않아도 된다고 명시적으로 지정한 변수 (26.07.31 피드백).
Head_Temp,fdc_thermal,continuous,predictor,stable,0.0072634059421373305,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,멘토 피드백: Head_Temp -> 크리스탈 스팟 온도 변화 -> 굴절률 변화 -> Laser_Centering_Position 변화 -> Chipping/Kerf 불균일로 이어지는 인과사슬 가설. Cooling_Flow/Cooling_Water_Temp/Laser_Centering_Position과 함께 묶어 다변량 분석 권장.
Vibration,fdc_mechanical,continuous,predictor,variable,0.13794072536176866,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,멘토 피드백: 설비 열화(degradation)의 대표 신호. 실제 사고 사례(노후 장비 Y축 이동 시 진동으로 빔 라인 어긋남 → 대량 스크랩)가 있었음 — Health Index(Goal5) 핵심 후보 변수로 우선 고려할 것.
Laser_Current,fdc_laser,continuous,predictor,stable,0.011776418983965179,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Laser_Voltage,fdc_laser,continuous,predictor,stable,0.008349892282737977,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Beam_Diameter,fdc_laser,continuous,predictor,stable,0.008575869949176602,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Alignment_Time,fdc_motion,continuous,predictor,moderate,0.04988460471025137,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Process_Time,fdc_motion,continuous,predictor,stable,0.019861683691832405,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Cutting_X_Index,fdc_motion,continuous,predictor,variable,0.1506296200971246,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,
Cutting_Y_Index,fdc_motion,continuous,predictor,variable,0.14920219710072657,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Cooling_Flow,fdc_thermal,continuous,predictor,stable,0.009958082750355242,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,True,True,멘토가 '컬럼을 다시 봐야겠다'며 설비-컬럼 매핑 재확인을 예고함 — 정확한 매핑 확정 전까지 결과 해석 시 주의.
Cooling_Water_Temp,fdc_thermal,continuous,predictor,stable,0.013622755812836788,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,True,True,멘토가 '컬럼을 다시 봐야겠다'며 설비-컬럼 매핑 재확인을 예고함 — 정확한 매핑 확정 전까지 결과 해석 시 주의.
CLN_Flow,fdc_cleaning,continuous,predictor,stable,0.008202352061243649,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,False,True,
CLN_Pressure,fdc_cleaning,continuous,predictor,stable,0.006534734750539696,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,False,True,
Coating_Flow,fdc_cleaning,continuous,predictor,stable,0.01001446686396864,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
CLN_Time,fdc_cleaning,continuous,predictor,moderate,0.03349779736859045,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Laser_Head_Remain_Time,fdc_cleaning,continuous,predictor,variable,0.38511076742665973,cv_or_range_normalized,mixed,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: 헤드 내 11개 스팟, 스팟당 기준수명 약 2000시간(가상데이터라 그대로 적용 안 될 수 있음). 잔여시간이 적게 남거나 특정 시점(교체/오버 시점)을 지날 때 불량이 발생하는 임계값성 패턴이 있을 수 있음 — 선형 상관보다 구간별/임계값 기반 분석(예: 잔여시간 구간화 후 불량률 비교)을 함께 검토할 것."
Kerf_Width_Profile,response,continuous,predictor,stable,0.002265937725643395,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: '7㎛ 지점' 기준으로 정의된 값이지만, 이 합성 데이터에서는 생성 시 정확히 7㎛로 고정되지 않고 임의 baseline을 썼을 수 있음 — 7㎛를 물리 상수로 하드코딩하지 말고, baseline을 데이터 분포(정상군 median 등)에서 역산해서 쓸 것 (Step0의 OK-baseline 방식이 이미 이 원칙을 따름). 메커니즘(팀 도메인지식, 26.08.02): 가공폭이 넓거나 좁거나 양방향 모두 위험 (direction=either) — 패키지 크기 불균형이나 가공영역 이탈로 이어짐. Chipping 원인으로 Jun/JHdaimma 양쪽에서 통계적으로 확정됨(JHdaimma는 통계검정·permutation importance·SHAP 3방법 모두 top10 합의)."
Top_Kerf,response,continuous,predictor,stable,0.0019340693171625727,cv_or_range_normalized,mixed,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: Kerf_Width_Profile과 동일한 '7㎛ 기준점 아님' 주의사항 적용. Chipping 원인으로 JHdaimma가 3방법 합의로 확정(direction=either, Kerf_Width_Profile과 동일 메커니즘 상속)."
Bottom_Kerf,response,continuous,predictor,stable,0.0019609967189315822,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,True,True,"Jun 도메인 지식(26.08.02, 멘토 미확정): Top_Kerf=절단 상단 폭, Bottom_Kerf=완전히 깎인 하단 폭, Kerf_Width_Profile=7㎛ 지점 폭, Kerf_Angle=절단면 기울기(경계값), Groove_Depth=실제 깎인 깊이 — 5개가 같은 절단면을 위치별로 잰 값이라는 해석. **단, 이 데이터로 검증한 결과 그 기하학적 순서 관계는 성립하지 않음**: Top_Kerf > Bottom_Kerf 비율이 49.3%(위가 항상 넓어야 하면 거의 100%여야 함), Kerf_Width_Profile이 Top~Bottom 사이 값인 비율도 28.5%뿐. 5개 컬럼 평균이 다들 50.09~50.10으로 비슷해서 같은 물리량을 재는 것처럼 보이지만, 서로 독립적으로 생성된 값에 가까움(가상데이터 한계 — Kerf_Width_Profile 노트의 '7㎛ 비고정' 문제와 같은 맥락). 인과분석 시 Jun의 개념적 해석은 참고하되, 5개를 기하학적으로 서로 치환 가능한 중복값처럼 다루지 말 것 — 각각 독립 후보 변수로 취급. 멘토가 다른 kerf 컬럼과 값 중복 여부, 순수 샘플링 값인지 재확인 예정이라고 했음 — 결과 해석 시 주의. 팀 자체 검증(26.08.02): 상관계수로는 완전 중복 아님(0.63대, OPCOND 층화 재검증해도 동일), 값 자체 100% 일치하는 행도 없음 — '중복 저장'은 가능성 낮음. 단 Jun의 도메인 해석(Top/Bottom/Profile이 절단면 위치별 값)이 기대하는 기하학적 순서 관계도 데이터에서 안 성립함(MENTOR_DOMAIN_NOTES 참고) — 멘토 최종 확인 전까지는 '중복도 아니고 깔끔한 기하학적 유도값도 아닌, 독립적인 후보 변수'로 취급."
Kerf_Angle,response,continuous,predictor,stable,0.0011482900646450607,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,팀 자체 검증(26.08.02): Top_Kerf/Bottom_Kerf/Groove_Depth 어느 조합과도 상관/회귀/RandomForest 전부 관계 없음(R² 0.5~0.6% 수준). Jun의 5개 defect 통계검정에서도 전부 insufficient_evidence/not_related_to_defect. JHdaimma 모델에서도 원인이 아니라 Head_Temp가 만드는 결과값(R²=0.664)으로만 등장. **원인 후보에서 배제하고 독립적으로 생성된 변수로 결론** — 더 이상 인과분석 대상으로 우선순위 두지 않음.
Groove_Depth,response,continuous,predictor,stable,0.0036054937047718186,cv_or_range_normalized,mixed,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: 기준 깊이(7㎛) 대비 편차값이지만, 이 데이터에서 7㎛가 실제 물리 상수가 아닐 수 있음 — Kerf_Width_Profile과 동일 주의사항, baseline은 데이터로 역산. 메커니즘(팀 도메인지식, 26.08.02): 너무 깊게 깎인 건 문제 안 되고 **덜 깎였을 때만 위험**(direction=down이 위험, either 아님) — Kerf_Width_Profile과 방향 성격이 다름. Chipping 원인으로 Jun이 통계검정 confirmed(가공깊이 부족 -> Low-k 불완전 승화 -> Blade가 잔류물 타격), CAUSE_FACTORS에 반영됨. (정정: JHdaimma 모델에서 Laser_Power의 결과값(R²=0.606)으로 나온 건 JHdaimma가 Chipping 예측 후보에서 애초에 제외하고 별도 회귀로만 다룬 것뿐 — Jun의 confirmed 결과를 반박하는 근거가 아니었음. 처음에 이걸 잘못 해석해서 CAUSE_FACTORS에서 뺐다가 재정정함.)"
Package_Size_1,response,continuous,predictor,stable,0.00011732402155054526,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: 4방향(동서남북) 중 하나, 방향 특정 불필요. 센터링 이상 시 비대칭 패턴 발생 — Package_Size_Asymmetry(팀 공용 피처) 참고."
Package_Size_2,response,continuous,predictor,stable,0.00010380177260522038,cv_or_range_normalized,candidate_downward_drift,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: Package_Size_1과 동일 — 센터링 이상 시 비대칭 패턴, Package_Size_Asymmetry 참고."
Package_Size_3,response,continuous,predictor,stable,0.00010416923874848002,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: Package_Size_1과 동일 — 센터링 이상 시 비대칭 패턴, Package_Size_Asymmetry 참고."
Package_Size_4,response,continuous,predictor,stable,0.00011663138433256285,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,True,"멘토 피드백: Package_Size_1과 동일 — 센터링 이상 시 비대칭 패턴, Package_Size_Asymmetry 참고."
Coating_Thickness,response,continuous,predictor,stable,0.014811408989612987,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Coating_Uniformity,response,continuous,predictor,stable,0.002525396647102203,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,
Cutting_Offset,response,continuous,mentor_excluded,variable,0.14377542601741022,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,True,False,False,False,멘토가 데이터 제공 시 분석에 활용하지 않아도 된다고 명시적으로 지정한 변수 (26.07.31 피드백).
Surface_Roughness,response,continuous,predictor,moderate,0.05455126931324851,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,True,True,멘토가 drop 여부를 확정하지 않음('필요상 넣어놓은 컬럼'이라고만 언급) — Jun의 BURN/PARTICLE/CRACK confirmed 목록에 이미 등장하므로 최종 확정 전까지 결과 해석 시 주의.
Chipping,defect_binary,binary,target_defect,variable,3.5709379664810763,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Chipping_Die,defect_count,count,target_defect,variable,12.999999999999691,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Remain_Coat,defect_binary,binary,target_defect,variable,0.14169403499449612,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Remain_Coat_Die,defect_count,count,target_defect,variable,9.428583754038865,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Particle,defect_binary,binary,target_defect,moderate,0.08727728367645006,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Particle_Die,defect_count,count,target_defect,variable,7.207567154311038,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Micro_Crack,defect_binary,binary,target_defect,variable,1.1192694796270015,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Micro_Crack_Die,defect_count,count,target_defect,variable,4.999999999999592,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Laser_Paim,defect_binary,binary,target_defect,unknown,,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Laser_Paim_Die,defect_count,count,target_defect,unknown,,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Edge_Burn,defect_binary,binary,mentor_excluded_defect,variable,0.4283791904153545,rate_cv,not_applicable,0.0,0.0,0.0,False,False,False,True,False,False,멘토 확인 결과 유효한 실패모드가 아님이 확정되어 defect 분석 대상에서 제외 (26.08.01). Jun의 Goal2 BURN 분석 전체가 이 라벨 기반이라 재검토 필요.
Edge_Burn_Die,defect_count,count,mentor_excluded_defect,variable,4.896671886941137,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,True,False,False,멘토 확인 결과 유효한 실패모드가 아님이 확정되어 defect 분석 대상에서 제외 (26.08.01). Jun의 Goal2 BURN 분석 전체가 이 라벨 기반이라 재검토 필요.
Fail_Die,defect_count,count,target_defect,variable,10.631909129778133,index_of_dispersion,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,defect 타깃 — Goal2/4의 예측 대상.
Yield,outcome,continuous,target_outcome,stable,0.0,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,"공정 결과 라벨 — 피처가 아니라 타깃/검증값(Goal2 타깃, Goal5 검증)."
NG_Code,outcome,categorical,target_outcome,not_applicable,,not_applicable,not_applicable,0.0,0.0,0.0,False,False,False,False,False,True,"공정 결과 라벨 — 피처가 아니라 타깃/검증값(Goal2 타깃, Goal5 검증)."
PLC_CPU_Load,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.4513790082024371,cv_or_range_normalized,candidate_upward_drift,0.0,0.0,0.0,False,False,False,False,False,False,"설비 IT 인프라 텔레메트리로 추정, 공정 물리량 아님 — 1차 제외."
PLC_Memory,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.3679739259605989,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"설비 IT 인프라 텔레메트리로 추정, 공정 물리량 아님 — 1차 제외."
Network_Latency,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.5227014966802772,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"네트워크 인프라 지표로 추정, 공정 물리량 아님 — 1차 제외."
LED_Brightness,undocumented_env_or_infra,continuous,undocumented_excluded,moderate,0.06411498271128052,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"비전검사 조명 조건으로 추정, 공정 물리량 아님 — 1차 제외."
Room_Noise,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.19188919635901472,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"환경 텔레메트리로 추정, 공정 물리량 아님 — 1차 제외."
Door_Open_Count,undocumented_env_or_infra,count,undocumented_excluded,moderate,1.8364386193648685,index_of_dispersion,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"환경/보안 이벤트 카운트로 추정, 공정 물리량 아님 — 1차 제외."
Fan_RPM,undocumented_env_or_infra,count,undocumented_excluded,variable,167.02605501090068,index_of_dispersion,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"설비 냉각팬 등 인프라 지표로 추정, 공정 물리량 아님 — 1차 제외."
Vision_Exposure,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.1925468140769026,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"비전검사 카메라 노출값으로 추정, 공정 물리량 아님 — 1차 제외."
Maintenance_Count,undocumented_env_or_infra,count,undocumented_retained,variable,3.5121143893324356,index_of_dispersion,no_trend,0.0,0.0,0.0,False,False,False,False,False,True,정비 이력 프록시로 추정 — 정비 직후/직전 열화 패턴과 연관될 수 있어 Goal2(유효인자 발굴)/Goal4(이상탐지)에서 후속 확인 가치 있음. 1차 제외하지 않고 보류.
Factory_Power,undocumented_env_or_infra,continuous,undocumented_excluded,variable,0.3832452300118909,cv_or_range_normalized,no_trend,0.0,0.0,0.0,False,False,False,False,False,False,"공장 전력 인프라 지표로 추정, 공정 물리량 아님 — 1차 제외."
